value_name,value_index,bit_index,bit_length,value_type,magnification,determine,remark,十六进制地址
版本号,0,0,16,int,1,,16位有符号,0000H
编程密码,1,0,16,int,1,,16位有符号,0001H
电能清零,2,0,16,int,1,,16位有符号,0002H
网络选择,3,0,16,int,1,,16位有符号,0003H
保留0004H,4,0,16,int,1,,16位有符号,0004H
保留0005H,5,0,16,int,1,,16位有符号,0005H
电流互感器倍率IrAt,6,0,16,int,1,,16位有符号,0006H
电压互感器倍率UrA,7,0,16,int,1,,16位有符号,0007H
保留0008H,8,0,16,int,1,,16位有符号,0008H
有功、无功脉冲输出切换,9,0,16,int,1,,16位有符号,0009H
轮显时间(秒),10,0,16,int,1,,16位有符号,000AH
背光时间控制(秒),11,0,16,int,1,,16位有符号,000BH
协议切换,44,0,16,int,1,,16位有符号,002CH
通讯波特率,45,0,16,int,1,,16位有符号,002DH
通讯地址,46,0,16,int,1,,16位有符号,002EH
时间(秒),47,0,16,int,1,,16位有符号,002FH
时间(分),48,0,16,int,1,,16位有符号,0030H
时间(时),49,0,16,int,1,,16位有符号,0031H
时间(日),50,0,16,int,1,,16位有符号,0032H
时间(月),51,0,16,int,1,,16位有符号,0033H
时间(年),52,0,16,int,1,,16位有符号,0034H
三相线电压数据Uab,8192,0,32,float,0.1,,单精度浮点,2000H
三相线电压数据Ubc,8194,0,32,float,0.1,,单精度浮点,2002H
三相线电压数据Uca,8196,0,32,float,0.1,,单精度浮点,2004H
三相相电压数据Ua,8198,0,32,float,0.1,,单精度浮点,2006H
三相相电压数据Ub,8200,0,32,float,0.1,,单精度浮点,2008H
三相相电压数据Uc,8202,0,32,float,0.1,,单精度浮点,200AH
三相电流数据Ia,8204,0,32,float,0.1,,单精度浮点,200CH
三相电流数据Ib,8206,0,32,float,0.1,,单精度浮点,200EH
三相电流数据Ic,8208,0,32,float,0.1,,单精度浮点,2010H
合相有功功率,8210,0,32,float,0.1,,单精度浮点,2012H
A相有功功率,8212,0,32,float,0.1,,单精度浮点,2014H
B相有功功率,8214,0,32,float,0.1,,单精度浮点,2016H
C相有功功率,8216,0,32,float,0.1,,单精度浮点,2018H
合相无功功率,8218,0,32,float,0.1,,单精度浮点,201AH
