di1h,di1l,di0h,di0l,format,length,unit,read,write,name
4,0,4,E,XXXXXX,3,,TRUE,FALSE,局号
4,0,4,F,XXXXXXXXXXXX,6,,TRUE,FALSE,用户号
4,0,4,2,XXXXXXXXXXXX,6,,TRUE,FALSE,表号
0,0,0,0,XXXXXX.XX,4,,TRUE,FALSE,总用电量
0,90,1,0,XXXXXX.XX,4,,TRUE,FALSE,剩余电量
0,90,1,1,XXXXXX.XX,4,,TRUE,FALSE,透支电量
3,32,2,1,XXXX,2,,TRUE,FALSE,上1次购电后总购电次数
3,32,3,1,XXXXXX.XX,4,,TRUE,FALSE,上1次购电量
3,32,4,1,XXXXXX.XX,4,,TRUE,FALSE,上1次购电前剩余电量
3,32,5,1,XXXXXX.XX,4,,TRUE,FALSE,上1次购电后剩余电量
3,32,6,1,XXXXXX.XX,4,,TRUE,FALSE,上1次购电后总购电量
2,3,0,0,XX.XXXX,3,,TRUE,FALSE,当前瞬时总功率
2,3,1,0,XX.XXXX,3,,TRUE,FALSE,当前瞬时A相功率
2,3,2,0,XX.XXXX,3,,TRUE,FALSE,当前瞬时B相功率
2,3,3,0,XX.XXXX,3,,TRUE,FALSE,当前瞬时C相功率
2,1,1,0,XXX.X,2,,TRUE,FALSE,当前A相电压
2,1,2,0,XXX.X,2,,TRUE,FALSE,当前B相电压
2,1,3,0,XXX.X,2,,TRUE,FALSE,当前C相电压
2,2,1,0,XXX.XXX,3,,TRUE,FALSE,当前A相电流
2,2,2,0,XXX.XXX,3,,TRUE,FALSE,当前B相电流
2,2,3,0,XXX.XXX,3,,TRUE,FALSE,当前C相电流
4,0,4,9,XXXXXX,3,,TRUE,FALSE,脉冲常数
4,0,5,8,XXXX,2,,TRUE,FALSE,电表状态字1
4,0,5,9,XXXX,2,,TRUE,FALSE,电表状态字2
4,0,F,1,XXXXXX.XX,4,,TRUE,FALSE,1级报警门限
4,0,F,2,XXXXXX.XX,4,,TRUE,FALSE,2级报警门限
4,0,F,3,XXXXXX.XX,4,,TRUE,FALSE,囤积电量限值
4,0,F,4,XXXXXX.XX,4,,TRUE,FALSE,赊欠用电门限
4,0,E,1,XX.XXXX,3,,TRUE,FALSE,过载拉闸门限
4,8,0,4,XXXXXXXX,4,,TRUE,FALSE,程序版本号
