value_name,value_index,bit_index,bit_length,value_type,magnification,determine,remark
开关,0,0,16,enum,1,{0xAA=开机}{0x55=关机},
模式,1,0,16,enum,1,{0=无效}{1=制冷}{2=抽湿}{3=送风}{4=制热}{5=自动},
温度设定,2,0,16,int,1,,
风速设定,3,0,16,enum,1,{0=无效}{1=自动}{2=低风}{3=中风}{4=大风},
风摆设定,4,0,16,enum,1,{0=不摆}{1=自动摆}{2=固定角度1}{3=固定角度2}{4=固定角度3}{5=固定角度41}{6=固定角度5},
室内温度,5,0,16,int,1,,
故障代码,6,0,16,enum,1,{0x00=无故障}{0xE1=传感器故障},
运行电流,7,0,16,int,100,,
开关输出,8,0,16,enum,1,{0=断开}{1=闭合},
对比电流设置,9,0,16,int,1,,
上限温度,10,0,16,int,1,,
下限温度,11,0,16,int,1,,
启动模式,12,0,16,enum,1,{0=无效}{1=有自启动},
品牌代码,13,0,16,enum,1,{3=格力}{4=美的},
重启次数,14,0,16,int,1,,
重启原因,15,0,16,int,1,,
备用功能,16,0,16,int,1,,
设置对比电流,250,0,16,int,1,,
学习模式,252,0,16,enum,1,{0=无效}{1=学习开机}{2=学习关机},
